240;24;K24;
Nr.;;;Protos Barcode
1;Zahlenschloss;ALU;1-24
2;Zahlenschloss;ALU;2-24
3;Zahlenschloss;ALU;3-24
4;Zahlenschloss;ALU;4-24
5;Zahlenschloss;ALU;5-24
6;Zahlenschloss;ALU;6-24
7;Zahlenschloss;ALU;7-24
8;Zahlenschloss;ALU;8-24
9;Zahlenschloss;ALU;9-24
10;Zahlenschloss;ALU;10-24
11;Zahlenschloss;ALU;11-24
12;Zahlenschloss;ALU;12-24
13;Zahlenschloss;ALU;13-24
14;Zahlenschloss;ALU;14-24
15;Zahlenschloss;ALU;15-24
16;Zahlenschloss;ALU;16-24
17;Zahlenschloss;ALU;17-24
18;Zahlenschloss;ALU;18-24
19;Zahlenschloss;ALU;19-24
20;Zahlenschloss;ALU;20-24
21;Zahlenschloss;ALU;21-24
22;Zahlenschloss;ALU;22-24
23;Zahlenschloss;ALU;23-24
24;Zahlenschloss;ALU;24-24
25;Zahlenschloss;ALU;25-24
26;Zahlenschloss;ALU;26-24
27;Zahlenschloss;ALU;27-24
28;Zahlenschloss;ALU;28-24
29;Zahlenschloss;ALU;29-24
30;Zahlenschloss;ALU;30-24
31;Zahlenschloss;ALU;31-24
32;Zahlenschloss;ALU;32-24
33;Zahlenschloss;ALU;33-24
34;Zahlenschloss;ALU;34-24
35;Zahlenschloss;ALU;35-24
36;Zahlenschloss;ALU;36-24
37;Zahlenschloss;ALU;37-24
38;Zahlenschloss;ALU;38-24
39;Zahlenschloss;ALU;39-24
40;Zahlenschloss;ALU;40-24
41;Zahlenschloss;ALU;41-24
42;Zahlenschloss;ALU;42-24
43;Zahlenschloss;ALU;43-24
44;Zahlenschloss;ALU;44-24
45;Zahlenschloss;ALU;45-24
46;Zahlenschloss;ALU;46-24
47;Zahlenschloss;ALU;47-24
48;Zahlenschloss;ALU;48-24
49;Zahlenschloss;ALU;49-24
50;Zahlenschloss;ALU;50-24
51;Zahlenschloss;ALU;51-24
52;Zahlenschloss;ALU;52-24
53;Zahlenschloss;ALU;53-24
54;Zahlenschloss;ALU;54-24
55;Zahlenschloss;ALU;55-24
56;Zahlenschloss;ALU;56-24
57;Zahlenschloss;ALU;57-24
58;Zahlenschloss;ALU;58-24
59;Zahlenschloss;ALU;59-24
60;Zahlenschloss;ALU;60-24
61;Zahlenschloss;ALU;61-24
62;Zahlenschloss;ALU;62-24
63;Zahlenschloss;ALU;63-24
64;Zahlenschloss;ALU;64-24
65;Zahlenschloss;ALU;65-24
66;Zahlenschloss;ALU;66-24
